"site","colony","N","yield_mean","zoox_mean","chla_mean","chlc_mean","sd_yield","sd_zoox","sd_chla","sd_chlc","yield_se","zoox_se","chla_se","chlc_se"
"Coral","Five",3,0.653111111,713619.270033333,3.49538618166667,1.178372049,0.012668128190536,192640.82033157,0.818235148745905,0.358893365120708,0.00731394722093463,111221.229475342,0.472408283388861,0.207207180962811
"Coral","Four",3,0.669555555333333,741779.964766667,5.19991082566667,1.93682187666667,0.0128120312322557,221822.620513096,1.39051562143077,0.662458067283964,0.00739702968080873,128069.349665584,0.802814568345437,0.382470343473236
"Coral","One",3,0.648999999666667,340741.2457,2.15082600233333,0.544876247333333,0.00321455025366432,122470.321195397,0.793129175457995,0.116882086625365,0.00185592145427668,70708.2729099023,0.457913342952819,0.0674819041765996
"Coral","Six",3,0.615333333333333,1360692.86926667,6.01743825733333,1.950425915,0.0208832736232187,418268.722420152,1.97814612522197,0.840289907525431,0.0120569636479259,241487.559482876,1.14208319789332,0.485141604307133
"Coral","Three",3,0.668694444666667,1295987.6633,3.83087006733333,1.155371025,0.0426145785242128,734473.847382499,0.441010703569203,0.447510015284781,0.0246035383823567,424048.673499026,0.254617648421185,0.258370027789722
"Coral","Two",3,0.632999999666667,778271.164933333,3.075135858,0.854722987,0.0101159939369956,380769.41091262,1.37078922583033,0.302242493117134,0.00584047182264505,219837.321889576,0.791425528535381,0.174499784761721
"Roldan","Five",3,0.599222222333333,265604.713533333,2.32815268066667,0.819810093333333,0.0344179107033705,80990.0016346471,0.461374499982039,0.24846423003345,0.0198711900095355,46759.5992454317,0.26637469176186,0.143450890093806
"Roldan","Four",3,0.532222222333333,216442.413533333,1.36927808133333,0.414965471,0.0878814438962873,73218.4594059241,0.48473088592214,0.100062419270505,0.0507383752902945,42272.6972476599,0.279859507471673,0.0577710647015912
"Roldan","One",3,0.546472222,206310.33753,1.779852167,0.848805584333333,0.0398148782299151,106836.32615928,0.721612191950262,0.502553898054972,0.0229871306637936,61681.9816672909,0.416622993273,0.290149628324334
"Roldan","Six",3,0.609222222333333,216130.2198,2.013556513,0.600179272666667,0.0187152149649739,NA,0.59984094219267,0.0470686488855469,0.0108052343979694,NA,0.346318329445897,0.0271750971044625
"Roldan","Three",3,0.573083333333333,138439.958903333,1.02667054333333,0.311741997,0.0317178314727431,125954.511398342,0.712240741366212,0.202881284406933,0.0183122985388994,72719.8710614806,0.411212383755601,0.11713356416588
"Roldan","Two",3,0.552861111333333,92222.5654433333,1.112352318,0.332984597,0.0523954207139927,45661.837148657,0.328191334948991,0.0524892379673368,0.0302505102535274,26362.87396947,0.189481355578503,0.0303046756700002
