site,colony,frag,zoox,chla,chlc,yield
Coral,One,A,411086.1693,2.597060387,0.592897192,0.650333333
Coral,One,B,199325.3212,1.235097776,0.411632475,0.645333333
Coral,One,C,411812.2466,2.620319844,0.630099075,0.651333333
Coral,Two,A,1089420.663,4.557183677,1.195220436,0.639333333
Coral,Two,B,353670.6984,1.852745354,0.618167098,0.621333333
Coral,Two,C,891722.1334,2.815478543,0.750781427,0.638333333
Coral,Three,A,2090721.131,3.356852659,0.815000097,0.679666667
Coral,Three,B,1155040.252,4.229034172,1.662269924,0.621666667
Coral,Three,C,642201.6069,3.906723371,0.988843054,0.70475
Coral,Four,A,652848.5731,3.600962072,1.175258438,0.667333333
Coral,Four,B,578222.3911,6.126096906,2.255422107,0.658
Coral,Four,C,994268.9301,5.872673499,2.379785085,0.683333333
Coral,Five,A,905039.3489,4.258948541,1.444880278,0.638666667
Coral,Five,B,519780.485,2.631694065,0.770282583,0.658333333
Coral,Five,C,716037.9762,3.595515939,1.319953286,0.662333333
Coral,Six,A,878767.6088,3.735447671,1.299602807,0.595333333
Coral,Six,B,1629219.183,7.072112547,1.652612718,0.613666667
Coral,Six,C,1574091.816,7.244754554,2.89906222,0.637
Roldan,One,A,221312.5644,1.381698165,1.382874413,0.52075
Roldan,One,B,304852.6137,2.612829159,0.778337406,0.526333333
Roldan,One,C,92765.83449,1.345029177,0.385204934,0.592333333
Roldan,Two,A,109732.9635,1.421432132,0.383475794,0.49525
Roldan,Two,B,40397.15813,0.767912954,0.278702825,0.565666667
Roldan,Two,C,126537.5747,1.147711868,0.336775172,0.597666667
Roldan,Three,A,76967.03674,0.845318939,0.249589375,0.60925
Roldan,Three,B,55025.86667,0.422637363,0.147207459,0.56
Roldan,Three,C,283326.9733,1.812055328,0.538429157,0.55
Roldan,Four,A,295785.0661,1.861411825,0.528338111,0.465
Roldan,Four,B,151482.7419,0.892305784,0.33897964,0.631666667
Roldan,Four,C,202059.4326,1.354116635,0.377578662,0.5
Roldan,Five,A,344627.591,2.305571465,0.751177232,0.615666667
Roldan,Five,B,182781.3943,1.878483425,0.612876402,0.559666667
Roldan,Five,C,269405.1553,2.800403152,1.095376646,0.622333333
Roldan,Six,A,170852.088,1.935501667,0.652528731,0.628666667
Roldan,Six,B,,2.648603849,0.586657937,0.607666667
Roldan,Six,C,261408.3516,1.456564023,0.56135115,0.591333333
